geo,month,hicp_i15,hicp_2021_100
ES,2024-09,123.42,115.30448593183127
ES,2024-10,123.91,115.76226585491179
ES,2024-11,123.95,115.799635644551
ES,2024-12,124.49,116.30412780468056
ES,2025-01,124.31,116.13596375130403
ES,2025-02,124.8,116.59374367438456
ES,2025-03,125.66,117.3971941516279
ES,2025-04,126.44,118.12590504959282
ES,2025-05,126.4,118.0885352599536
ES,2025-06,127.27,118.90132818460674
ES,2025-07,126.84,118.49960294598507
ES,2025-08,126.88,118.53697273562429
ES,2025-09,127.17,118.80790371050868
ES,2025-10,127.85,119.44319013437553
ES,2025-11,127.87,119.46187502919514
ES,2025-12,128.28,119.84491537299719
FI,2020-01,103.72,97.73457192439673
FI,2020-02,104.2,98.18687229581701
FI,2020-03,104.03,98.026682580939
FI,2020-04,103.58,97.60265098273248
FI,2020-05,103.52,97.54611343630495
FI,2020-06,103.77,97.78168654641968
FI,2020-07,104.07,98.06437427855734
FI,2020-08,104.09,98.08322012736653
FI,2020-09,104.11,98.1020659761757
FI,2020-10,104.22,98.20571814462619
FI,2020-11,104.1,98.0926430517711
FI,2020-12,104.3,98.28110153986289
FI,2021-01,104.76,98.71455606247399
FI,2021-02,105.12,99.0537813410392
FI,2021-03,105.44,99.35531492198604
FI,2021-04,105.85,99.74165482257418
FI,2021-05,105.88,99.76992359578794
FI,2021-06,105.75,99.6474255785283
FI,2021-07,105.97,99.85472991542925
FI,2021-08,106.0,99.88299868864303
FI,2021-09,106.26,100.12799472316235
FI,2021-10,107.14,100.95721207076616
FI,2021-11,107.72,101.50374168623233
FI,2021-12,107.6,101.39066659337726
FI,2022-01,109.1,102.8041052540656
FI,2022-02,109.73,103.39774949155472
FI,2022-03,111.54,105.10329880878531
FI,2022-04,111.98,105.51790748258722
FI,2022-05,113.43,106.88423152125264
FI,2022-06,114.31,107.71344886885646
FI,2022-07,114.49,107.88306150813905
FI,2022-08,114.37,107.769986415284
FI,2022-09,115.2,108.55208914086487
FI,2022-10,116.13,109.42842111049164
FI,2022-11,117.48,110.70051590511116
FI,2022-12,117.06,110.30475308011842
FI,2023-01,117.69,110.8983973176075
FI,2023-02,118.46,111.62396249676085
FI,2023-03,118.98,112.11395456579949
FI,2023-04,119.05,112.1799150366316
FI,2023-05,119.14,112.26472135627293
FI,2023-06,118.96,112.09510871699031
FI,2023-07,119.28,112.39664229793715
FI,2023-08,117.96,111.15281627653142
FI,2023-09,118.66,111.81242098485265
FI,2023-10,118.93,112.06683994377656
FI,2023-11,118.34,111.5108874039058
FI,2023-12,118.61,111.7653063628297
FI,2024-01,119.01,112.14222333901327
FI,2024-02,119.8,112.88663436697578
FI,2024-03,119.64,112.73586757650236
FI,2024-04,119.74,112.83009682054825
FI,2024-05,119.67,112.76413634971614
FI,2024-06,119.61,112.7075988032886
FI,2024-07,119.91,112.99028653542626
FI,2024-08,119.23,112.34952767591422
FI,2024-09,119.79,112.87721144257121
FI,2024-10,120.71,113.74412048779338
FI,2024-11,120.37,113.42374105803736
FI,2024-12,120.46,113.50854737767865
FI,2025-01,121.07,114.08334576635859
FI,2025-02,121.64,114.62045245742016
FI,2025-03,121.8,114.77121924789357
FI,2025-04,121.99,114.95025481158076
FI,2025-05,122.08,115.03506113122208
FI,2025-06,121.87,114.83717971872571
FI,2025-07,122.24,115.18582792169549
FI,2025-08,121.91,114.87487141634405
FI,2025-09,122.48,115.41197810740564
FI,2025-10,122.37,115.30832593895515
FI,2025-11,122.2,115.14813622407713
FI,2025-12,122.49,115.42140103181022
FR,2020-01,105.24,97.73705228616537
FR,2020-02,105.27,97.76491347552859
FR,2020-03,105.34,97.8299229173761
FR,2020-04,105.32,97.81134879113395
FR,2020-05,105.49,97.96922886419217
FR,2020-06,105.58,98.05281243228183
FR,2020-07,106.01,98.45215614648795
FR,2020-08,105.89,98.34071138903508
FR,2020-09,105.3,97.7927746648918
FR,2020-10,105.27,97.76491347552859
FR,2020-11,105.5,97.97851592731325
FR,2020-12,105.75,98.21069250534006
FR,2021-01,106.03,98.4707302727301
FR,2021-02,106.07,98.50787852521438
FR,2021-03,106.8,99.18583413305267
FR,2021-04,107.02,99.39014952171625
FR,2021-05,107.38,99.72448379407486
FR,2021-06,107.57,99.90093799337522
FR,2021-07,107.64,99.96594743522273
FR,2021-08,108.38,100.65319010618208
FR,2021-09,108.16,100.44887471751849
FR,2021-10,108.64,100.89465374732998
FR,2021-11,109.09,101.31257158777822
FR,2021-12,109.34,101.54474816580503
FR,2022-01,109.51,101.70262823886327
FR,2022-02,110.49,102.61276042472835
FR,2022-03,112.26,104.25657059715816
FR,2022-04,112.78,104.73949787945394
FR,2022-05,113.63,105.52889824474508
FR,2022-06,114.6,106.4297433674891
FR,2022-07,114.94,106.74550351360554
FR,2022-08,115.49,107.25629198526451
FR,2022-09,114.9,106.70835526112126
FR,2022-10,116.32,108.02711822431353
FR,2022-11,116.81,108.48218431724608
FR,2022-12,116.7,108.38002662291429
FR,2023-01,117.22,108.86295390521003
FR,2023-02,118.55,110.09813330031267
FR,2023-03,119.76,111.22186793796243
FR,2023-04,120.55,111.95554592452714
FR,2023-05,120.46,111.87196235643748
FR,2023-06,120.71,112.10413893446429
FR,2023-07,120.77,112.15986131319073
FR,2023-08,122.1,113.39504070829334
FR,2023-09,121.4,112.74494628981829
FR,2023-10,121.61,112.93997461536081
FR,2023-11,121.32,112.6706497848497
FR,2023-12,121.49,112.82852985790794
FR,2024-01,121.2,112.55920502739684
FR,2024-02,122.35,113.62721728632015
FR,2024-03,122.65,113.90582917995233
FR,2024-04,123.41,114.61164597715383
FR,2024-05,123.59,114.77881311333313
FR,2024-06,123.78,114.95526731263351
FR,2024-07,124.03,115.18744389066032
FR,2024-08,124.77,115.87468656161965
FR,2024-09,123.15,114.37018233600595
FR,2024-10,123.54,114.73237779772778
FR,2024-11,123.36,114.56521066154848
FR,2024-12,123.62,114.80667430269635
FR,2025-01,123.42,114.62093304027489
FR,2025-02,123.49,114.6859424821224
FR,2025-03,123.73,114.90883199702814
FR,2025-04,124.55,115.67037117295607
FR,2025-05,124.32,115.45676872117141
FR,2025-06,124.85,115.94898306658826
FR,2025-07,125.2,116.2740302758258
FR,2025-08,125.8,116.83125406309011
FR,2025-09,124.47,115.5960746679875
