country,month,awd_median_eur__cyber_broad,awd_median_eur__cyber_strict,awd_median_eur__ict_generic,awd_median_eur__other,awd_total_eur__cyber_broad,awd_total_eur__cyber_strict,awd_total_eur__ict_generic,awd_total_eur__other,awd_total_eur_real__cyber_broad,awd_total_eur_real__cyber_strict,awd_total_eur_real__ict_generic,awd_total_eur_real__other,est_median_eur__cyber_broad,est_median_eur__cyber_strict,est_median_eur__ict_generic,est_median_eur__other,est_total_eur__cyber_broad,est_total_eur__cyber_strict,est_total_eur__ict_generic,est_total_eur__other,est_total_eur_real__cyber_broad,est_total_eur_real__cyber_strict,est_total_eur_real__ict_generic,est_total_eur_real__other,n_awards__cyber_broad,n_awards__cyber_strict,n_awards__ict_generic,n_awards__other,n_tenders__cyber_broad,n_tenders__cyber_strict,n_tenders__ict_generic,n_tenders__other,n_cyber,n_cyber_strict,n_ict72,n_ict_generic,cyber_share,v_cyber_real,v_cyber_nom,v_cyber_awd,v_cyber_awd_real,cyber_strict_est_median_eur,cyber_strict_awd_median_eur,group,treat_month,treated,rel_month,post_eforms
BE,2026-05,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,19.0,1
BE,2026-06,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,20.0,1
BE,2026-07,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,67.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,21.0,1
BE,2026-08,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,64.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,,,early,2024-10,1,22.0,1
DE,2021-01,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,183.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-59.0,0
DE,2021-02,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,236.0,0.0,0.0,1.0,134.0,0.0,1.0,1.0,135.0,134.0,0.007407407407407408,,,0.0,0.0,,,late,2025-12,0,-58.0,0
DE,2021-03,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,206.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-57.0,0
DE,2021-04,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,183.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-56.0,0
DE,2021-05,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,188.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-55.0,0
DE,2021-06,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,185.0,0.0,0.0,1.0,193.0,0.0,1.0,1.0,194.0,193.0,0.005154639175257732,,,0.0,0.0,,,late,2025-12,0,-54.0,0
DE,2021-07,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,204.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-53.0,0
DE,2021-08,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,161.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-52.0,0
DE,2021-09,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,181.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-51.0,0
DE,2021-10,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,200.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,207.0,207.0,0.0,0.0,0.0,0.0,0.0,,,late,2025-12,0,-50.0,0
DE,2021-11,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,199.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,154.0,154.0,0.0,0.0,0.0,,,,,late,2025-12,0,-49.0,0
