country,month,category,n_tenders,est_total_eur,est_median_eur,est_total_eur_real,est_median_eur_real,n_awards,awd_total_eur,awd_median_eur,awd_total_eur_real,awd_median_eur_real,value_missing_share,group,treat_date,treat_month,treat_month_alt,treated,rel_month,post_eforms,month_2023_10
BE,2022-11,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-23.0,0,0
BE,2022-12,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-22.0,0,0
BE,2022-12,cyber_strict,1.0,,,,,1.0,410626.0,410626.0,359025.9168949414,359025.9168949414,0.5,early,2024-10-18,2024-10,2024-11,0,-22.0,0,0
BE,2022-12,ict_generic,34.0,,,,,38.0,174202630.39,2446704.175,152311980.00438437,2139246.442748526,0.5277777777777778,early,2024-10-18,2024-10,2024-11,0,-22.0,0,0
BE,2022-12,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-22.0,0,0
BE,2023-01,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-21.0,0,0
BE,2023-01,cyber_strict,1.0,,,,,0.0,0.0,,0.0,,1.0,early,2024-10-18,2024-10,2024-11,0,-21.0,0,0
BE,2023-01,ict_generic,18.0,,,,,31.0,191678702.97,1482955.2,170406068.51855063,1318375.8106955276,0.46938775510204084,early,2024-10-18,2024-10,2024-11,0,-21.0,0,0
BE,2023-01,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-21.0,0,0
BE,2023-02,cyber_broad,0.0,0.0,,0.0,,1.0,250000.0,250000.0,221672.68566288328,221672.68566288328,0.0,early,2024-10-18,2024-10,2024-11,0,-20.0,0,0
BE,2023-02,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-20.0,0,0
BE,2023-02,ict_generic,41.0,,,,,25.0,37268208.26,386480.0,33045375.259351403,342688.2382199645,0.6666666666666666,early,2024-10-18,2024-10,2024-11,0,-20.0,0,0
BE,2023-02,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-20.0,0,0
BE,2023-03,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-19.0,0,0
BE,2023-03,cyber_strict,0.0,0.0,,0.0,,1.0,421200.0,421200.0,372764.05767250253,372764.05767250253,0.0,early,2024-10-18,2024-10,2024-11,0,-19.0,0,0
BE,2023-03,ict_generic,35.0,,,,,32.0,249666541.82999998,2489230.42,220956109.20610732,2202981.082243656,0.582089552238806,early,2024-10-18,2024-10,2024-11,0,-19.0,0,0
