country,month,sector,annex,risk_zone,n_cyber_tenders,n_ict72_tenders,est_value_cyber_real,treat_month,post_eforms
BE,2022-09,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,education,,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-09,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-09,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,other_unknown,,0,1.0,41.0,0.0,2024-10,0
BE,2022-09,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-09,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-09,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-09,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-09,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,education,,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,energy_gas,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-10,energy_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,environment,,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,health,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-10,housing,,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,other_unknown,,0,0.0,36.0,0.0,2024-10,0
BE,2022-10,postal,II,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,public_admin,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-10,public_order,,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,recreation,,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,social,,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,space,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-10,transport_maritime,I,1,0.0,0.0,0.0,2024-10,0
BE,2022-10,transport_other,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-10,water,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-11,banking_finance,I,0,0.0,0.0,0.0,2024-10,0
BE,2022-11,defence,,0,0.0,0.0,0.0,2024-10,0
BE,2022-11,education,,0,0.0,0.0,0.0,2024-10,0
