Coefficient,ev_m18,ev_m17,ev_m16,ev_m15,ev_m14,ev_m13,ev_m12,ev_m11,ev_m10,ev_m9,ev_m8,ev_m7,ev_m6,ev_m5,ev_m4,ev_m3,ev_m2,ev_p0,ev_p1,ev_p2,ev_p3,ev_p4,ev_p5,ev_p6,ev_p7,ev_p8,ev_p9,ev_p10,ev_p11,ev_p12,ev_p13,ev_p14,ev_p15,ev_p16,ev_p17,ev_p18
ev_m5,0.027750251333641587,0.04313652910348686,0.026476992040217653,0.050787543957937706,0.02854337887545815,0.028863356835588397,0.027166737602373835,0.02853200658076816,0.018136630802003426,0.015057684674276062,0.02254963713480539,0.012711826813839654,0.022657778101426464,0.03905981318147996,0.01114346891305641,0.013539021858635418,0.022101201323663743,0.02556632016716,0.03357545834347952,0.02391808576989034,0.021543617815453265,0.02018205194101793,0.015767791622921933,0.016743254057126778,0.019077659335570953,0.012554093855297665,0.015572801899854822,0.013629258752844887,0.01864094181085244,0.017739065794603274,0.029441957140272493,0.023366081665656933,0.01479064160232165,0.014988097655956014,0.020279485089670632,0.01714601214885615
ev_m4,0.022455752985569663,0.015168526042512596,0.0018268748550668635,0.030048580838576276,0.016486242298196074,0.011005271221813221,0.019980348786023117,0.02467882321823294,0.020753051327883215,0.015762282805938294,0.025994950876674056,0.027638905169922453,0.024483808487071088,0.011143468913056342,0.028767811958511746,0.018326624112920523,0.008555683353068362,0.011495941963193331,0.016315813872140088,0.002524891473977002,0.022315420302068234,0.01674719964447401,0.009471374476453189,0.018256275453941973,0.009948922788365788,0.028073898403989286,0.005113992848136064,0.008509579246155004,0.0204359624979168,0.004292650483479874,0.01903751648365329,0.01684225379398352,0.009422542897768242,0.024459200905946398,0.019583549981831188,0.02133213496363353
ev_m3,0.024706996246802174,0.02536155959739192,0.017957220905015565,0.023560114922327267,0.022727385906802282,0.02621440744714412,0.02497687215939854,0.0268186253377711,0.029388908014762054,0.022151675203780103,0.020324692402530733,0.027780671176605137,0.020360160729810197,0.013539021858635137,0.018326624112920378,0.04643121636029967,0.03786448212287037,0.025780200440517893,0.03535073222224359,0.02742414950428076,0.0348649494198892,0.03327946655578022,0.017556987173833975,0.0410646315449375,0.01981315891401856,0.026708921115837874,0.04108872204340131,0.03961075442792344,0.040646463335973035,0.03529060766574782,0.04643140528278407,0.0379276614961798,0.03547831800035828,0.06183090959890031,-4.788968915719532e-05,0.025632509796683
ev_m2,0.02926048938786599,0.0431515485753734,0.044983761209580704,0.04023219526751202,0.0352903579149122,0.053538611561776424,0.035150877300177144,0.036557660250500695,0.0344785509241889,0.03520552064400115,0.023073890245513224,0.016296406967797425,0.02624527451755144,0.02210120132366368,0.008555683353068404,0.037864482122870614,0.05829675987365073,0.02537048552744318,0.048213962844989994,0.04051266128411723,0.03450256594402697,0.03278344282516797,0.02494381197095401,0.03990121735647248,0.029180326773022888,0.024483522039138308,0.03987493170511358,0.03428255739429772,0.017499952910026713,0.03633394456397783,0.05678961971541176,0.028914218365703813,0.027659970238885046,0.04732718594567494,0.010137129501268714,0.023662716859940574
ev_p0,0.026247788276033208,0.03808633284343297,0.023270980491062253,0.03535883971485743,0.026653899288575634,0.028008577230493024,0.025000210750987878,0.02888566697549637,0.02002325862538539,0.02159864588717097,0.01750529821063116,0.018354353947918213,0.02237495295116613,0.02556632016715991,0.011495941963193337,0.025780200440518063,0.025370485527443122,0.0363448806215347,0.041240566866480796,0.017387791708744257,0.01615666889668217,0.02098525885956082,0.023288588718276475,0.024916800754636027,0.019082228331107627,0.02938077311383938,0.026775269203325555,0.03136168904991567,0.018613736728660284,0.019421384353522603,0.032551460350006056,0.036557003513700594,0.026940966549648084,0.040998056366011386,0.016626349689087,0.01911599147374607
ev_p1,0.042399866051265306,0.05220594448970583,0.050985891861025895,0.05858502992187845,0.04252329124088627,0.056738672077822024,0.03706742874745362,0.04549819391188292,0.02997421514541241,0.03379695894430405,0.02723536217931609,0.021892352675420296,0.028953388416982223,0.033575458343479365,0.016315813872140022,0.035350732222243754,0.048213962844989904,0.04124056686648073,0.06558310589825977,0.03676796222101491,0.031419497934873336,0.029541226091868395,0.03302169158494866,0.03701510861721278,0.03735688071624748,0.04492759859224114,0.04405450730007229,0.044084666391768404,0.019433332851032197,0.035965853133365165,0.06669541007717905,0.04895311784939595,0.03260051502840143,0.059857322898226026,0.03809914898773778,0.043433003933757854
ev_p2,0.020043516016620338,0.03269072371464499,0.03752021227606456,0.03290990333014715,0.021446174035964334,0.033658788639893834,0.01743876454548459,0.016923669986825873,0.012078919889032617,0.018382001614453032,0.014848895824277536,0.002340960216526781,0.008090328269537386,0.0239180857698902,0.0025248914739769393,0.02742414950428083,0.04051266128411716,0.01738779170874418,0.03676796222101491,0.045926224924989885,0.028460842975004456,0.021456928109805432,0.008358157104221478,0.026250349964918186,0.028349736437107684,0.005267898625561927,0.03489999170096907,0.023261511205497357,0.02254331247357993,0.03292750902367019,0.04072960631454127,0.019967263467998795,0.013229768621946223,0.02349572483176828,0.006871249007995205,0.020004468529927606
ev_p3,0.030175032374126956,0.03595234116317359,0.021745022567889634,0.038195430596230935,0.028257229987354564,0.030803363176736633,0.039990033914956286,0.029698039303931816,0.027172587569576464,0.016498053791942663,0.03421427195939669,0.03385721751101233,0.02262892397045162,0.021543617815453085,0.02231542030206817,0.034864949419889296,0.03450256594402689,0.01615666889668211,0.03141949793487331,0.028460842975004463,0.05530040884512402,0.03718111965320008,0.01856977120340245,0.041184066459353075,0.023087301344837764,0.02665495414601909,0.025344305052851658,0.02781692251652557,0.05240006188958707,0.02597423976437079,0.05285892991862813,0.04057596641212659,0.028950591559321906,0.0460349891914557,0.028930481987325486,0.041896341757503
ev_p4,0.025226058348978224,0.026552087385003715,0.018152335719789366,0.03295500553821411,0.020683933248210405,0.02597242808098928,0.02831974644074198,0.026991279395847688,0.02441444451707427,0.011297906371868014,0.0226161833504839,0.02733243676425555,0.022086114845372595,0.020182051941017725,0.01674719964447395,0.033279466555780304,0.03278344282516785,0.020985258859560745,0.029541226091868374,0.02145692810980541,0.037181119653200055,0.03999366484300187,0.01888838299202285,0.03461428968480978,0.014611288642196778,0.028633770257841053,0.02598274476047121,0.02906273403877777,0.03369735475568805,0.029034422174549,0.04992541771782449,0.03152511380362517,0.038311816936236635,0.0506394851691582,0.017242233484653813,0.02342247461870909
ev_p5,0.024040023379483032,0.03215711360657444,0.026159131174263453,0.03033332714034367,0.027874322739707816,0.0318803133845277,0.03202376193672258,0.02694004737810819,0.021644502470320792,0.021649215566100978,0.0182255776638841,0.01862998885629664,0.020590999514581924,0.01576779162292173,0.009471374476453069,0.017556987173834054,0.02494381197095386,0.023288588718276364,0.033021691584948616,0.008358157104221461,0.018569771203402412,0.018888382992022827,0.028092286284441385,0.025888093523626293,0.02048027249817083,0.03273796160843852,0.01909566413160151,0.030625012569786968,0.01516120844548798,0.012329202118011095,0.036956770355917164,0.03710058656169399,0.027924332890182594,0.04202317875120532,0.02241197206024675,0.02720219405606363
